word,lemma,freq
yummy,yummy,333
fear,fear,332
yard,yard,332
rat,rat,332
captain,captain,332
gray,gray,331
news,news,331
rex,rex,331
ooh,ooh,331
storm,storm,331
anna,anna,330
cozy,cozy,330
pictures,picture,330
costume,costume,329
list,list,329
beat,beat,329
toes,toe,328
snowman,snowman,328
ryan,ryan,328
glass,glass,327
turns,turn,326
donkey,donkey,326
places,place,326
gathered,gather,326
toad,toad,326
pull,pull,325
reach,reach,325
teddy,teddy,325
wife,wife,324
shop,shop,324
cookie,cookie,324
dry,dry,324
laughing,laugh,324
hiding,hide,323
dinosaurs,dinosaur,323
returned,return,322
curious,curious,321
wrote,write,321
pile,pile,321
pop,pop,320
carefully,carefully,320
carried,carry,320
moved,move,320
jungle,jungle,320
guys,guy,319
roar,roar,319
hopped,hop,319
wise,wise,318
stayed,stay,318
added,add,318
surprised,surprised,318
draw,draw,318
pumpkins,pumpkin,317
answered,answer,317
living,live,317
sent,send,317
la,la,316
tummy,tummy,316
dressed,dress,316
whale,whale,316
waves,wave,316
promise,promise,315
joe,joe,314
realized,realize,314
tells,tell,313
especially,especially,313
david,david,313
creatures,creature,313
whatever,whatever,312
aloud,aloud,312
question,question,312
seems,seem,311
reason,reason,311
least,least,310
wood,wood,309
bedtime,bedtime,309
fit,fit,309
exclaimed,exclaim,308
foot,foot,308
throw,throw,308
helping,help,308
speak,speak,307
break,break,307
threw,throw,307
lake,lake,307
plant,plant,307
supposed,suppose,306
thumbelina,thumbelina,306
grandmother,grandmother,306
worst,bad,306
note,note,305
bell,bell,304
fancy,fancy,303
snack,snack,302
heads,head,302
crazy,crazy,302
john,john,302
fix,fix,302
butterfly,butterfly,302
third,third,302
missed,miss,301
gifts,gift,301
seeds,seed,301
shell,shell,300
yep,yep,300
fresh,fresh,299
bunnies,bunny,299
seem,seem,299
holding,hold,298
born,bear,298
fair,fair,298
sleigh,sleigh,298
stone,stone,298
carry,carry,297
built,build,297
riding,ride,297
standing,stand,297
danced,dance,296
sisters,sister,296
remembered,remember,296
treasure,treasure,296
north,north,296
