Word_Corpus_All_Picturebooks,Lemma,Freq_Raw,Word_Narrative_Picturebooks,Lemma,Freq_Raw,Word_Informational_Picturebooks,Lemma,Freq_Raw
music,music,974,both,both,821,thanksgiving,thanksgiving,149
lost,lose,972,stopped,stop,820,times,time,149
laughed,laugh,971,use,use,818,fire,fire,148
later,later,970,check,check,815,set,set,147
real,real,967,enjoyed,enjoy,812,lives,live,147
both,both,961,mommy,mommy,810,mouth,mouth,147
easter,easter,952,hungry,hungry,810,states,states,147
leave,leave,952,later,later,808,t,t,147
daddy,daddy,950,super,super,807,uh,uh,146
share,share,949,filled,fill,807,actually,actually,146
check,check,944,black,black,806,grown,grown,145
few,few,943,pink,pink,803,plant,plant,145
winter,winter,942,happened,happen,801,written,write,144
fall,fall,942,wants,want,801,bird,bird,144
enjoyed,enjoy,941,flowers,flower,800,c,c,143
wrong,wrong,940,guess,guess,798,else,else,143
comes,come,939,teeth,tooth,797,done,do,143
flew,fly,931,goes,go,793,across,across,143
quiet,quiet,928,cake,cake,793,count,count,142
loves,love,927,pulled,pull,793,playing,play,142
hungry,hungry,924,garden,garden,792,instead,instead,142
guess,guess,924,scary,scary,791,quiet,quiet,141
front,front,924,front,front,790,magic,magic,141
super,super,924,tail,tail,788,nose,nose,141
mommy,mommy,922,quiet,quiet,787,brown,brown,140
garden,garden,921,tom,tom,787,both,both,140
though,though,912,share,share,787,bears,bear,140
pink,pink,911,worry,worry,786,fact,fact,139
filled,fill,909,fall,fall,786,takes,take,139
means,mean,904,lady,lady,784,bright,bright,139
goes,go,903,forest,forest,781,began,begin,139
worry,worry,902,wind,wind,779,stories,story,139
instead,instead,902,smile,smile,778,pretty,pretty,138
scary,scary,900,jumped,jump,776,illustrated,illustrate,138
years,year,898,duck,duck,775,rest,rest,138
car,car,897,funny,funny,774,helped,help,137
close,close,897,having,have,771,room,room,137
smile,smile,897,hands,hand,770,african,african,137
god,god,894,dinner,dinner,763,united,united,137
forest,forest,893,opened,open,761,getting,get,136
stopped,stop,891,instead,instead,760,sit,sit,136
wants,want,889,brought,bring,760,clouds,cloud,136
papa,papa,889,dance,dance,757,stand,stand,135
having,have,889,fine,fine,754,become,become,135
wind,wind,887,witch,witch,752,real,real,135
rock,rock,886,though,though,739,stars,star,134
cake,cake,883,car,car,739,front,front,134
job,job,881,decided,decide,736,rain,rain,134
window,window,881,comes,come,735,dream,dream,134
hi,hi,880,close,close,735,henry,henry,134
dinner,dinner,875,few,few,735,walk,walk,134
fox,fox,874,live,live,734,b,b,133
happened,happen,873,rock,rock,734,wow,wow,133
dance,dance,871,stories,story,730,finally,finally,133
safe,safe,870,hi,hi,728,bugs,bug,133
stories,story,869,silly,silly,726,jellyfish,jellyfish,133
birds,bird,867,bring,bring,725,box,box,133
fire,fire,866,ate,eat,720,large,large,133
jack,jack,862,giant,giant,718,hey,hey,133
strong,strong,861,forget,forget,718,sounds,sound,132
duck,duck,860,fire,fire,718,person,person,132
brought,bring,857,job,job,716,r,r,132
funny,funny,852,part,part,715,country,country,132
page,page,843,frog,frog,709,wild,wild,131
pulled,pull,840,gold,gold,709,doing,do,131
lady,lady,840,wonderful,wonderful,709,hold,hold,131
bring,bring,839,everybody,everybody,705,clean,clean,130
color,color,838,surprise,surprise,700,learning,learn,130
word,word,837,already,already,699,boy,boy,130
giant,giant,831,others,other,697,picture,picture,130
frog,frog,828,floor,floor,696,babies,baby,129
forget,forget,826,fox,fox,693,garden,garden,129
decided,decide,826,loud,loud,690,thankful,thankful,129
rest,rest,825,rest,rest,687,thanks,thank,129
number,number,824,alone,alone,687,enjoyed,enjoy,129
important,important,819,yet,yet,687,seen,see,129
fine,fine,818,table,table,685,check,check,129
tall,tall,814,lunch,lunch,685,parents,parent,128
loud,loud,813,princess,princess,684,bigger,big,128
jumped,jump,810,god,god,684,men,man,128
silly,silly,807,waiting,wait,681,flying,fly,127
table,table,803,paper,paper,681,listen,listen,127
everybody,everybody,802,wolf,wolf,679,turtle,turtle,127
yet,yet,802,birds,bird,678,door,door,126
gets,get,802,learn,learn,677,guess,guess,126
opened,open,799,dinosaur,dinosaur,676,worked,work,126
stars,star,795,na,to,675,near,near,126
alone,alone,795,page,page,674,monster,monster,125
hold,hold,794,gon,go,669,wear,wear,125
tom,tom,790,safe,safe,668,flower,flower,125
floor,floor,787,shoes,shoe,665,ago,ago,125
surprise,surprise,785,past,past,664,brave,brave,125
ate,eat,781,hold,hold,663,meet,meet,124
flying,fly,779,wonder,wonder,663,class,class,123
na,to,779,stars,star,661,tried,try,123
already,already,778,mind,mind,661,loud,loud,123
