word,lemma,freq
milk,milk,87
celebrate,celebrate,87
less,less,87
feathers,feather,87
trying,try,86
built,build,86
ants,ant,86
york,york,86
freedom,freedom,86
against,against,86
monkey,monkey,86
hurt,hurt,85
taking,take,85
surprise,surprise,85
town,town,85
duck,duck,85
reach,reach,85
washington,washington,85
afraid,afraid,84
slow,slow,84
surface,surface,84
plan,plan,84
famous,famous,83
changed,change,83
dolphin,dolphin,83
understand,understand,83
snakes,snake,83
week,week,83
bodies,body,82
gray,gray,82
bite,bite,82
nest,nest,82
stuff,stuff,82
practice,practice,82
insect,insect,82
families,family,81
beach,beach,81
apples,apple,81
hop,hop,81
size,size,81
faster,fast,81
silly,silly,81
spread,spread,81
tooth,tooth,81
soil,soil,81
homes,home,81
travel,travel,81
known,know,81
busy,busy,81
calm,calm,81
pollen,pollen,80
running,run,80
thinking,think,80
carry,carry,80
library,library,80
christmas,christmas,80
pig,pig,80
history,history,80
clothes,clothe,80
queen,queen,79
nectar,nectar,79
rabbit,rabbit,79
tiger,tiger,79
bottom,bottom,79
already,already,79
respect,respect,79
sharp,sharp,79
goodbye,goodbye,79
happen,happen,79
half,half,79
lion,lion,79
met,meet,79
l,l,79
store,store,79
since,since,79
song,song,78
funny,funny,78
dirt,dirt,78
rights,right,78
buy,buy,78
girls,girl,78
moving,move,78
john,john,78
park,park,78
myself,myself,78
party,party,77
numbers,number,77
pull,pull,77
dreams,dream,77
snake,snake,77
planets,planet,77
pictures,picture,77
happens,happen,77
fell,fall,77
hang,hang,77
point,point,77
farm,farm,76
f,f,76
giving,give,76
himself,himself,76
join,join,76
exactly,exactly,76
begin,begin,76
anyone,anyone,76
tap,tap,76
feed,feed,76
knows,know,76
turns,turn,75
imagine,imagine,75
staying,stay,75
question,question,75
suddenly,suddenly,75
halloween,halloween,75
w,w,75
national,national,75
pooh,pooh,75
elizabeth,elizabeth,75
lions,lion,74
matter,matter,74
starts,start,74
pond,pond,74
wet,wet,74
biggest,big,74
sorry,sorry,74
germs,germ,74
beans,bean,73
break,break,73
touch,touch,73
proud,proud,73
chocolate,chocolate,73
yummy,yummy,73
branches,branch,73
act,act,73
walked,walk,73
species,specie,72
smaller,small,72
happened,happen,72
middle,middle,72
owls,owl,72
energy,energy,72
p,p,72
bill,bill,72
eats,eat,71
strange,strange,71
stopped,stop,71
pizza,pizza,71
race,race,71
probably,probably,71
taste,taste,70
lunch,lunch,70
excited,excited,70
boat,boat,70
cookies,cookie,70
meat,meat,70
died,die,70
street,street,70
spider,spider,70
y,y,70
toes,toe,70
gone,go,69
secret,secret,69
spiders,spider,69
creatures,creature,69
fairy,fairy,69
talking,talk,69
south,south,69
pups,pup,69
shell,shell,69
journey,journey,69
leaf,leaf,69
toys,toy,69
needed,need,69
dig,dig,68
fingers,finger,68
boys,boy,68
shaped,shape,68
snowman,snowman,68
laws,law,68
birthday,birthday,68
meal,meal,68
wolves,wolf,68
mountain,mountain,67
bye,bye,67
underground,underground,67
push,push,67
