word,lemma,freq
doctor,doctor,522
lights,light,522
buy,buy,521
waited,wait,521
happen,happen,521
cut,cut,521
feels,feel,520
road,road,520
eight,eight,518
t,t,517
caught,catch,517
wet,wet,517
castle,castle,516
nobody,nobody,516
become,become,515
unicorn,unicorn,515
breakfast,breakfast,514
hill,hill,513
pizza,pizza,513
tight,tight,511
probably,probably,509
um,um,509
glad,glad,508
grown,grow,508
bath,bath,508
sitting,sit,507
cookies,cookie,506
covered,cover,505
straight,straight,504
bats,bat,504
wall,wall,504
noticed,notice,503
helps,help,502
clouds,cloud,501
angry,angry,501
lives,live,500
store,store,500
monkey,monkey,498
honey,honey,497
faster,fast,496
living,live,495
above,above,495
hurt,hurt,495
upon,upon,494
anymore,anymore,494
noise,noise,493
joy,joy,491
tiger,tiger,491
places,place,491
proud,proud,491
able,able,490
cry,cry,489
early,early,487
week,week,486
since,since,486
fight,fight,485
middle,middle,485
build,build,485
understand,understand,484
farm,farm,484
hit,hit,484
listening,listen,482
cute,cute,482
beach,beach,482
toward,toward,481
terrible,terrible,481
boo,boo,479
toy,toy,479
foreign,foreign,479
b,b,479
seeds,seed,478
shout,shout,478
max,max,477
woke,wake,477
between,between,477
grabbed,grab,476
person,person,476
piece,piece,475
ho,ho,473
showed,show,472
bob,bob,472
mud,mud,472
finished,finish,470
guy,guy,470
monsters,monster,469
exactly,exactly,468
woods,wood,468
sick,sick,467
rocks,rock,466
during,during,463
followed,follow,461
half,half,461
closer,close,460
win,win,459
paint,paint,459
singing,singe,458
lovely,lovely,457
girls,girl,456
apples,apple,456
extra,extra,455
jim,jim,454
slow,slow,454
trip,trip,454
field,field,453
splat,splat,453
basket,basket,453
write,write,453
plant,plant,452
sang,sing,452
splash,splash,452
except,except,451
working,work,449
born,bear,448
snake,snake,448
lucky,lucky,446
join,join,445
missing,miss,444
biggest,big,443
amelia,amelia,442
hop,hop,442
longer,long,441
grumpy,grumpy,440
minute,minute,439
puppy,puppy,438
gives,give,438
son,son,438
bite,bite,437
games,game,437
starts,start,437
o,o,437
mountain,mountain,436
often,often,436
passed,pass,436
save,save,435
whale,whale,434
dress,dress,434
dry,dry,434
roll,roll,433
llama,llama,432
bottom,bottom,431
walking,walk,431
shall,shall,429
cave,cave,428
bet,bet,427
huh,huh,426
beans,bean,425
ahead,ahead,425
climb,climb,424
presents,present,424
giving,give,424
franklin,franklin,424
boom,boom,422
empty,empty,422
sign,sign,422
forever,forever,422
clifford,clifford,422
kitty,kitty,420
whoa,whoa,419
adventure,adventure,419
bowl,bowl,418
explained,explain,418
sleeping,sleep,417
c,c,417
leaf,leaf,417
wrote,write,416
wearing,wear,416
bye,bye,415
wondered,wonder,415
case,case,415
rolled,roll,414
luck,luck,413
gray,gray,413
goat,goat,412
pot,pot,411
perhaps,perhaps,410
reach,reach,410
hmm,hmm,408
pond,pond,407
pictures,picture,407
closed,close,406
yummy,yummy,406
pumpkins,pumpkin,406
mad,mad,405
dw,dw,404
tells,tell,404
lay,lie,404
thomas,thomas,403
speak,speak,403
sight,sight,403
dancing,dance,402
pull,pull,402
notice,notice,401
pants,pant,401
chance,chance,401
turns,turn,401
ways,way,401
golden,golden,400
wake,wake,400
forgot,forget,400
kindness,kindness,400
skin,skin,399
tonight,tonight,399
toes,toe,398
helping,help,397
news,news,397
snowman,snowman,396
agreed,agree,396
treats,treat,395
hooray,hooray,395
till,till,395
landed,land,394
bees,bee,394
mayor,mayor,392
e,e,392
crowd,crowd,390
bread,bread,389
coat,coat,389
question,question,387
shiny,shiny,387
hurry,hurry,386
planet,planet,386
afternoon,afternoon,385
thankful,thankful,384
north,north,384
draw,draw,384
fur,fur,384
sent,send,383
built,build,383
sees,see,382
creatures,creature,382
evening,evening,382
moved,move,382
teddy,teddy,381
path,path,381
storyteller,storyteller,381
celebrate,celebrate,381
dinosaurs,dinosaur,381
glass,glass,381
break,break,380
short,short,380
john,john,380
guys,guy,379
fear,fear,378
captain,captain,378
practice,practice,377
pirate,pirate,377
carry,carry,377
mice,mouse,376
waves,wave,375
sleepy,sleepy,375
ooh,ooh,375
ago,ago,375
learning,learn,374
especially,especially,374
letter,letter,374
list,list,374
daisy,daisy,373
carefully,carefully,372
